pos_name,brand_line,proof,category,region,sub_region,whiskey_type_id,all_upcs
Five & 20 Spirits Afterburner Bierschnapps White Whiskey,Five & 20 Spirits,101.0,American,Other,Other,e707f850-35eb-4d7c-8acf-1abe78d1a559,513072020
Five & 20 Spirits Rye Whiskey Small Batch Small Barrel,Five & 20 Spirits,90.0,American,Other,Other,d20cf63e-5736-4572-9c23-6f899b216a57,513072105|513072143
Five & 20 Spirits Straight Bourbon Whiskey,Five & 20 Spirits,90.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,513072112
Five & 20 Spirits Straight Bourbon Whiskey Small Batch Small Barrel,Five & 20 Spirits,90.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,513072150
Five & 20 Spirits Rye Whiskey Finished in Port Casks,Five & 20 Spirits,99.0,American,Other,Other,d20cf63e-5736-4572-9c23-6f899b216a57,513072167
Hercules Mulligan Rum & Rye,Hercules Mulligan ,86.0,American,Other,Other,1b6ba890-0739-4c7d-a3d4-64aa31726055,513080001
Hercules Mulligan Eyr & Rye,Hercules Mulligan ,86.0,American,Other,Other,1b6ba890-0739-4c7d-a3d4-64aa31726055,513080025
Texas Crown Club Ultra Premium Canadian Whisky,Texas Crown Club,80.0,Canadian,Canada,Other,5a1db11f-dd3a-49ec-8c6e-485ba71f8dd1,9016015008|9016015060
South Carolina Crown Club Canadian Whisky,South Carolina Crown Club,80.0,Canadian,Canada,Other,5a1db11f-dd3a-49ec-8c6e-485ba71f8dd1,9016017385|9016017576|9016017811|9016017866
Select Club Pecan Praline Canadian Whisky,Select Club,70.0,Canadian,Canada,Other,12ca2047-c61c-49fb-afcc-291238c6bf9e,9016017408
Select Club Ultra Premium Florida Blended Canadian Whisky,Select Club,80.0,Canadian,Canada,Other,5a1db11f-dd3a-49ec-8c6e-485ba71f8dd1,9016017422
Select Club Ultra Premium California Blended Canadian Whiskey,Select Club,80.0,Canadian,Canada,Other,5a1db11f-dd3a-49ec-8c6e-485ba71f8dd1,9016017682|9016017705|9016018313
Select Club Special Reserve Canadian Whisky,Select Club,91.0,Canadian,Canada,Other,5a1db11f-dd3a-49ec-8c6e-485ba71f8dd1,9016018108
Colorado Crown Club Canadian Whisky,Colorado Crown Club,80.0,American,Other,Other,5a1db11f-dd3a-49ec-8c6e-485ba71f8dd1,9016018511
Select Club Texas Grand Reserve Distiller Selected Barrels Canadian Whisky,Select Club,80.0,Canadian,Canada,Other,5a1db11f-dd3a-49ec-8c6e-485ba71f8dd1,9016019211|9016019310
Select Club Ultra Premium Pecan Praline Whisky,Select Club,70.0,Canadian,Canada,Other,12ca2047-c61c-49fb-afcc-291238c6bf9e,9016019334|9016019532|9016019549|9016019556|9016019563
Select Club Ultra Premium Apple Whisky,Select Club,70.0,Canadian,Canada,Other,12ca2047-c61c-49fb-afcc-291238c6bf9e,9016019624|9016019686
Texas Select Club Grand Reserve Distiller Selected Barrels Canadian Whisky,Texas Select Club,80.0,Canadian,Canada,Other,5a1db11f-dd3a-49ec-8c6e-485ba71f8dd1,9016019815
Meiyo Single Grain Whisky 17 Year,Meiyo,84.0,Japanese,Japan,Other,81fecdb4-1b77-4a36-bdfd-c02c3b5066e2,10725994003
American Premier Macdowell Scotch,American Premier,80.0,Scotch,Scotland,Other,999f58bb-d56f-4f44-9d27-c184ab6b4eb5,11170800215|11170800307
American Premier Hickory Hills Bourbon,American Premier,80.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,11170800222|11170800314
American Premier Canadian Salute Whiskey,American Premier,80.0,Canadian,Canada,Other,5a1db11f-dd3a-49ec-8c6e-485ba71f8dd1,11170800239|11170800321
Oppidan Four Grain Straight Bourbon Whiskey,Oppidan,100.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,11711190393
